State,state_code,state_id,year,total_population,land_area,population_density,population_change
Hawaii,HI,15,2020,1420074,6423,221.09201307800095,57344
Idaho,ID,16,2020,1754367,82643,21.228258896700265,186564
Illinois,IL,17,2020,12716164,55519,229.04166141320988,-107696
Indiana,IN,18,2020,6696893,35826,186.92829230168036,211363
Iowa,IA,19,2020,3150011,55857,56.39420305422776,102365
Kansas,KS,20,2020,2912619,81759,35.62444501522768,61436
Kentucky,KY,21,2020,4461952,39486,113.00086106468115,121785
Louisiana,LA,22,2020,4664616,43204,107.96722525692066,135011
Maine,ME,23,2020,1340825,30843,43.47258697273287,11741
Maryland,MD,24,2020,6037624,9707,621.9866076027608,252128
Massachusetts,MA,25,2020,6873003,7800,881.1542307692308,312408
Michigan,MI,26,2020,9973907,56539,176.40755938378817,76643
Minnesota,MN,27,2020,5600166,79627,70.32998857171562,287085
Mississippi,MS,28,2020,2981835,46923,63.54740745476632,14215
Missouri,MO,29,2020,6124160,68742,89.08905763579762,141747
Montana,MT,30,2020,1061705,145546,7.29463537300922,70920
Nebraska,NE,31,2020,1923826,76824,25.04199208580652,96520
Nevada,NV,32,2020,3030281,109781,27.60296408303805,326077
New Hampshire,NH,33,2020,1355244,8953,151.3731710041327,37770
New Jersey,NJ,34,2020,8885418,7354,1208.242861028012,91530
New Mexico,NM,35,2020,2097021,121298,17.288174578311267,41734
New York,NY,36,2020,19514849,47126,414.0994143360353,116724
North Carolina,NC,37,2020,10386227,48618,213.62925254021144,841978
North Dakota,ND,38,2020,760394,69001,11.020043187779887,84141
Ohio,OH,39,2020,11675275,40861,285.73150436846873,141714
Oklahoma,OK,40,2020,3949342,68595,57.57477950287922,200337
Oregon,OR,41,2020,4176346,95988,43.50904279701629,339718
Pennsylvania,PA,42,2020,12794885,44743,285.96394966810453,95296
Rhode Island,RI,44,2020,1057798,1034,1023.0154738878143,5327
South Carolina,SC,45,2020,5091517,30061,169.37284188816074,461166
South Dakota,SD,46,2020,879336,75811,11.599055546028941,63465
Tennessee,TN,47,2020,6772268,41235,164.23591609069965,419042
Texas,TX,48,2020,28635442,261232,109.61689992037729,3426545
Utah,UT,49,2020,3151239,82170,38.35023731288791,385006
Vermont,VT,50,2020,624340,9217,67.73787566453292,-1158
Virginia,VA,51,2020,8509358,39490,215.48133704735375,494403
Washington,WA,53,2020,7512465,66456,113.04419465511015,773751
West Virginia,WV,54,2020,1807426,24038,75.19036525501289,-43055
Wisconsin,WI,55,2020,5806975,54158,107.22284796336645,119756
Wyoming,WY,56,2020,581348,97093,5.987537721565921,18545
Alabama,AL,1,2019,4876250,50645,96.28294994570047,98924
Alaska,AK,2,2019,737068,570641,1.291649215531306,25929
